time,total,sunny,rain,on_off_rain,cloudy,thunderstorm,monday,tuesday,wednesday,thursday,friday,saturday,sunday
16:11:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:12:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:13:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:14:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:15:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:16:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:17:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:18:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:19:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:20:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:21:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:22:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:23:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:24:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:25:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:26:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:27:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:28:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:29:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:30:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:31:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:32:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:33:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:34:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:35:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:36:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:37:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:38:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:39:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:40:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:41:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:42:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:43:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:44:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:45:00,6,3,0,2,1,0,0,1,1,0,2,1,1
16:46:00,6,3,0,2,1,0,0,1,1,0,2,1,1
